capital,state,x,y
Amaravati,Andhra Pradesh,-112,-190
Itanagar,Arunachal Pradesh,280,166
Dispur,Assam,220,113
Patna,Bihar,62,94
Raipur,Chhattisgarh,-43,-17
Panaji,Goa,-227,-185
Gandhinagar,Gujarat,-303,25
Chandigarh,Haryana,-182,194
Shimla,Himachal Pradesh,-148,273
Srinagar,Jammu And Kashmir,-203,353
Ranchi,Jharkhand,52,40
Bengaluru,Karnataka,-207,-216
Thiruvananthapur,Kerala,-172,-315
Bhopal,Madhya Pradesh,-145,31
Mumbai,Maharashtra,-215,-66
Imphal,Manipur,278,64
Shillong,Meghalaya,185,89
Aizawl,Mizoram,250,22
Kohima,Nagaland,297,106
Bhubaneswar,Odisha,40,-42
Chandigarh,Punjab,-204,241
Jaipur,Rajasthan,-251,133
Gangtok,Sikkim,138,153
Chennai,Tamil Nadu,-140,-297
Hyderabad,Telangana,-128,-116
Agartala,Tripura,212,39
Dehradun,Uttarakhand,-113,226
Lucknow,Uttar Pradesh,-79,128
Kolkata,West Bengal,98,21

